行业,url,标题,内容
燃气,https://finance.eastmoney.com/a/202412313283725887.html,燃气板块走强 长春燃气、贵州燃气涨停,上证报中国证券网讯 12月31日早盘，燃气板块走强，截至9时49分，长春燃气、贵州燃气涨停，首华燃气涨逾13%，凯添然气涨超11%，德龙汇能等跟涨。
燃气,https://finance.eastmoney.com/a/202412313284160156.html,A股收评：三大指数震荡下挫 燃气板块逆势上涨,"今日，三大指数震荡下挫，南财金融终端显示，截至收盘，沪指跌1.63%，深证成指跌2.4%，创业板指跌2.93%。


　　盘面上，燃气板块逆势上涨，贵州燃气、首华燃气、长春燃气等涨停；

　　啤酒、饮料乳品板块上涨，海南椰岛、青岛啤酒等上涨；

　　饰品板块收红，潮宏基、曼卡龙等上涨；

　　下跌方面，综合金融、计算机、非银金融、电子板块跌幅居前。

　　市场股票呈现跌多涨少的态势，4619只股票下跌，705只股票上涨。

　　沪深两市成交额13458亿元，较上一交易日放量696亿元。

　　个股方面，东方财富成交额居首，为173.2亿元。其次是中兴通讯、中芯国际、沃尔核材和宁德时代，成交额分别为116.7亿元、84.5亿元、74.0亿元和67.0亿元。"
燃气,https://finance.eastmoney.com/a/202412313283559915.html,燃气板块竞价活跃 长春燃气高开近5%,燃气板块竞价活跃，凯添燃气高开超5%，长春燃气高开近5%，水发燃气、德龙汇能、国新能源、贵州燃气等均高开。
燃气,https://finance.eastmoney.com/a/202412313283559915.html,燃气板块竞价活跃 长春燃气高开近5%,"燃气板块竞价活跃，凯添燃气高开超5%，长春燃气高开近5%，水发燃气、德龙汇能、国新能源、贵州燃气等均高开。
K
线图
特色数据
资金流向
公告
个股日历
核心题材
K图 600333_0

最新价：0

涨跌额：0

涨跌幅：0.00%

成交量：0.00手

成交额：0.00

换手率：0.00%

市盈率：-31.04

总市值：33.9亿

查询该股行情  实时资金流向  深度数据揭秘  进入长春燃气吧  长春燃气资金流相关股票
国新B股(0 0.00%)凯添燃气(0 0.00%)蓝天燃气(0 0.00%)洪通燃气(0 0.00%)
相关板块
昨日涨停_含一字(0.00%)燃气(0.00%)天然气(0.00%)东北振兴(0.00%)

　　在东方财富看资讯行情，选东方财富证券一站式开户交易>>

　　燃气板块竞价活跃，凯添燃气高开超5%，长春燃气高开近5%，水发燃气、德龙汇能、国新能源、贵州燃气等均高开。"
燃气,https://finance.eastmoney.com/a/202412313283737582.html,供气供热板块震荡走高，长春燃气、贵州燃气等涨停,每经AI快讯，12月31日，供气供热板块震荡走高，截至发稿，长春燃气、贵州燃气等涨停，凯添燃气、天壕能源、水发燃气等涨幅居前。
燃气,https://finance.eastmoney.com/a/202412313283692165.html,A股天然气板块大涨，首华燃气涨超12%，长春燃气涨停,每经AI快讯，12月31日，A股天然气天然气：BK0843 1271.85 0.00% +自选板块大涨，首华燃气涨超12%，长春燃气涨停，贵州燃气、德龙汇能涨超5%，水发燃气、洪通燃气多股涨超4%。
燃气,https://finance.eastmoney.com/a/202412313284240274.html,洪通燃气：累计回购304.39万股,"洪通燃气（SH 605169，收盘价：10.17元）12月31日晚间发布公告称，截至2024年12月月底，公司已累计回购股份304.39万股，占公司总股本的比例为1.08%，购买的最高价为10.81元/股、最低价为6.46元/股，已支付的总金额为2302.79万元。

　　2023年1至12月份，洪通燃气的营业收入构成为：天然气销售及入户安装业务占比98.36%。

　　洪通燃气的董事长是刘洪兵，男，56岁，学历背景为硕士；总经理是姜述安，男，58岁，学历背景为硕士。

　　截至发稿，洪通燃气市值为29亿元。"
燃气,https://finance.eastmoney.com/a/202412313284087548.html,成都燃气：公司副总经理变更,每经AI快讯，12月31日，成都燃气晚间公告，因工作调整，青倩女士申请辞去公司职工代表董事、副总经理职务，陈季先生、罗庆先生申请辞去公司副总经理职务。公司同意聘任曾涛先生、刘军先生和郭诚先生为公司副总经理，任期自本次董事会审议通过之日起至第三届董事会任期届满之日止。
燃气,https://finance.eastmoney.com/a/202412313284046352.html,【调研快报】重庆燃气接待兴业证券调研,"12月31日发布消息，12月16日，公司接待兴业证券调研，接待人员董事会办公室副总经理 张松涛，证券事务代表 华翔，接待地点公司402会议室。

调研主要内容

主要对公司生产经营情况和业务发展战略情况进行交流。 此外，对投资者关心的其他热点问题进行了沟通。 1、今年前三季度气量情况? 答:今年前三季度销气量26.12亿方，同比增长2.79%，其中，居民用气保持增长、工业用气与去年同期相当，商业用气保持增长，CNG用气出现下滑。 2、…"
燃气,https://finance.eastmoney.com/a/202412303282733115.html,蓝天燃气拟参与设立并购基金 投资燃气行业及相关上下游产业,"上证报中国证券网讯 12月28日，蓝天燃气披露关于参与设立并购基金暨关联交易的公告。本着资源共享、优势互补、合作共赢的原则，共同助力河南省打造天然气全省一张网和城镇管道燃气“一城一企”整合工作，推动各方进一步发展。

　　河南蓝天燃气股份有限公司（以下简称“公司”）拟与河南汇融资产私募基金管理有限公司（以下简称“基金公司”）及河南燃气集团有限公司（以下简称“燃气集团”）共同成立河南汇融燃气并购产业投资基金合伙企业（有限合伙）（暂定，以工商行政管理部门最终核定名称为准，以下简称“并购基金”）。

　　2024年8月1日，河南省天然气管网有限公司（以下简称“河南管网”）与公司控股股东河南蓝天集团股份有限公司签署《股份转让协议》，河南管网受让34,641,816股股份，占当时总股本的5%，为公司持股5%股东。鉴于基金公司、燃气集团、河南管网均受河南投资集团有限公司控制，基金公司与燃气集团为河南管网一致行动人。按照《上海证券交易所股票上市规则》，本次公司与基金公司、燃气集团共同设立并购基金构成关联交易，但不构成重大资产重组。截止本公告披露日，在过去12个月内，公司未与燃气集团、基金公司发生关联交易。

　　各合伙人本着资源共享、优势互补、合作共赢的原则，共同助力河南省打造天然气全省一张网和城镇管道燃气“一城一企”整合工作，推动各方进一步发展，共同成立并购基金。并购基金主要投资于燃气行业及相关上下游产业，项目类型以城镇燃气行业为主，包括经营良好或具有盈利能力的燃气管道、储气设施、LNG接收站/加注站等其他城燃上下游的非上市企业（包括未上市企业的股权或上市企业非公开发行的股票或类似权益），从而实现有限合伙的资本增值。

　　2024年12月27日，公司第六届董事会第八次会议审议通过了《关于参与设立并购基金暨关联交易的议案》，尚需提交股东大会审议。（王磊）"
